Datetime,Tweet Id,Coordinates,Place,Tweet Retweet Count,Tweet Reply Count,Tweet LikeCount,Text,Username
2018-10-30 23:58:45+00:00,1057421581012660229,,,0,0,0,He hecho lo imposible por hacerme fuerte y como duele...,Nohelia_acr
2018-10-30 22:07:54+00:00,1057393685955002370,,,0,0,0,Se nos pasará la vida esperando el momento oportuno para estar juntos... 👀,Nohelia_acr
2018-10-30 20:10:19+00:00,1057364095358431232,,,0,0,0,¿Te vi mirándome o me viste mirándote?,Nohelia_acr
2018-10-30 15:15:36+00:00,1057289924704116736,,,0,0,1,"Por qué se tienen que casar tan jóvenes fue mí pregunta cuando llegue a casa de mí primo a recoger un ""encargo"", la invitación al matrimonio de el, quién es solo un año mayor que yo... 
A lo bien, que afán tan berraco el que tienen!",Nohelia_acr
2018-10-29 20:11:13+00:00,1057001931531583488,,,0,0,1,😏💓 https://t.co/3894111aNv,Nohelia_acr
2018-10-29 14:15:56+00:00,1056912524053004288,,,0,0,0,@Dani_Matamoros Será de Jesús el vendedor de periódico puerta a puerta...,Nohelia_acr
2018-10-29 13:44:00+00:00,1056904488202723329,,,0,0,3,Amor propio también es NO aceptar ser la segunda opción de nadie...✌🏼,Nohelia_acr
2018-10-28 22:51:12+00:00,1056679805817630720,,,0,0,1,Niña...💓 https://t.co/k3RBGI8HDz,Nohelia_acr
2018-10-28 22:50:08+00:00,1056679536597839872,,,0,0,1,Decir adiós también es crecer 🖐🏼,Nohelia_acr
2018-10-27 14:57:33+00:00,1056198221024899073,,,0,0,0,"Es difícil decirle no a una persona tan linda como el, pero no quiero y tampoco es el momento...",Nohelia_acr
2018-10-27 11:45:23+00:00,1056149860385210368,,,0,0,0,"@Nacs95 No puedo negarlo, tengo unos amigos de PUTA MADRE 😏",Nohelia_acr
2018-10-27 01:11:31+00:00,1055990343831838720,"Coordinates(longitude=-73.4584189963954, latitude=5.42105499867885)","Place(fullName='Tunja, Colombia', name='Tunja', type='city', country='Colombia', countryCode='CO')",0,1,1,@Nacs95 El tuyo es decente... Yo le digo marranita 🤣🤦,Nohelia_acr
2018-10-26 20:48:40+00:00,1055924195366965249,"Coordinates(longitude=-73.4017209977467, latitude=5.5538010011287)","Place(fullName='Cómbita, Colombia', name='Cómbita', type='city', country='Colombia', countryCode='CO')",0,1,0,💓😏 https://t.co/vLXgOaXwpD,Nohelia_acr
2018-10-26 05:43:18+00:00,1055696351193952256,,,0,0,0,Parece que será una larga noche sin dormir...😪😞,Nohelia_acr
2018-10-26 04:12:10+00:00,1055673418086055936,"Coordinates(longitude=-73.4017209977467, latitude=5.5538010011287)","Place(fullName='Cómbita, Colombia', name='Cómbita', type='city', country='Colombia', countryCode='CO')",0,0,0,11:11 💓,Nohelia_acr
2018-10-26 00:49:38+00:00,1055622445816778754,"Coordinates(longitude=-73.4584189963954, latitude=5.42105499867885)","Place(fullName='Tunja, Colombia', name='Tunja', type='city', country='Colombia', countryCode='CO')",0,0,1,Wings 💓 https://t.co/5AdgbPe82p,Nohelia_acr
2018-10-25 16:23:02+00:00,1055494956771631107,"Coordinates(longitude=-73.4584189963954, latitude=5.42105499867885)","Place(fullName='Tunja, Colombia', name='Tunja', type='city', country='Colombia', countryCode='CO')",0,0,1,"Tunja, fría Tunja... 💓",Nohelia_acr
2018-10-25 12:22:53+00:00,1055434521758367744,,,0,0,0,"Personas como el enseñan a querer,  pero...
Querer estar sola!",Nohelia_acr
2018-10-25 03:09:01+00:00,1055295135938940929,,,0,0,1,Un abrazo muy fuerte no estaría mal justo ahora... 😪,Nohelia_acr
2018-10-24 01:36:10+00:00,1054909381182218240,,,0,0,0,Verte por fin... 🐶💓 https://t.co/Z4en8gCKaI,Nohelia_acr
2018-10-23 15:51:56+00:00,1054762353085087744,,,0,0,0,Aviones 😍,Nohelia_acr
2018-10-22 20:16:24+00:00,1054466523782356998,,,0,0,0,"Olvídate de todo y quiéreme
No importa lo que digan, ámame
Abrázame fuerte y besame
Como un par de locos sin miedo a perder... 💓",Nohelia_acr
2018-10-22 06:48:39+00:00,1054263243638747136,,,0,0,0,Otra noche sin dormir... https://t.co/bOKaxYGO3n,Nohelia_acr
2018-10-21 23:53:37+00:00,1054158797428678661,,,0,0,0,"No debería ser algo de unos pocos municipios, ojalá se logrará en todo el territorio nacional. https://t.co/cnFN6GW022",Nohelia_acr
2018-10-21 20:05:55+00:00,1054101495430504449,,,0,0,1,L O V E 💓 https://t.co/orQkdLbnzS,Nohelia_acr
2018-10-21 20:01:18+00:00,1054100332278616067,,,0,0,0,"@elespectador Estaba perdido desde antes, es incapaz de hacer las cosas bien pero tiene un ""Don"" para cagarla con todo lo que hace y dice.",Nohelia_acr
2018-10-21 19:57:22+00:00,1054099341990879232,,,0,0,4,"@NoticiasCaracol Cómo pueden comparar a este tipo con una Leyenda como Kurt Cobain, Kurt poseía talento y Maluma pues... Sean serios!",Nohelia_acr
2018-10-21 05:05:46+00:00,1053874965953593346,,,0,0,0,@odiomistweets Es Maluma pero no faltarán los que no entiendan el sarcasmo y crean que en serio es Kurt Cobain. https://t.co/Y7n8HDDIvl,Nohelia_acr
2018-10-20 19:10:08+00:00,1053725070395351045,,,0,0,1,"#MiPaísEsAbsurdoPorque aún conociendo la ""Joyita"" que es  @AlvaroUribeVel lo siguen apoyando al punto de  permitir que su títere sea actualmente el presidente.",Nohelia_acr
2018-10-20 03:47:35+00:00,1053492900624060417,,,0,0,0,Quien diría que la íbamos a pasar tan bien...🌠,Nohelia_acr
2018-10-18 06:51:53+00:00,1052814506584395776,,,0,1,1,😊 https://t.co/SR9AkCpfjx,Nohelia_acr
2018-10-18 03:57:26+00:00,1052770604317888516,,,0,0,1,@mjqa_br No eres la única...,Nohelia_acr
2018-10-18 03:33:04+00:00,1052764471251398656,,,0,1,1,@Nacs95 Si nos pagaran por echar cuentos pendejos y reírnos... 💰💴💵💲,Nohelia_acr
2018-10-18 00:52:09+00:00,1052723975778959361,,,0,0,0,@djaviercorredor ¿Estas bien?,Nohelia_acr
2018-10-17 02:00:27+00:00,1052378776015986688,,,0,0,0,"Amor por este hombre @cucho1099
#VamosColombia https://t.co/2M6H9XN1Io",Nohelia_acr
2018-10-17 01:26:01+00:00,1052370111280140289,,,0,2,3,¿Te animas? https://t.co/rUfgQDKndy,Nohelia_acr
2018-10-16 23:28:36+00:00,1052340564123938816,,,0,1,4,"@JUANCAELBROKY Faltan algunos debates, pero a este paso Bogotá y las demás ciudades y municipios del país en su mayoría irán de culo para el estanque...😩",Nohelia_acr
2018-10-16 14:44:49+00:00,1052208750084395008,,,0,1,1,@Nacs95 Hace falta una tarde de onces y amigas 😪❤️,Nohelia_acr
2018-10-16 00:29:27+00:00,1051993489095966720,,,2,8,82,"#SpamDeOjos
Cambian de color con mi estado de ánimo 😁 https://t.co/QoY02SU4ko",Nohelia_acr
2018-10-16 00:11:42+00:00,1051989021256286208,"Coordinates(longitude=-73.0712079996567, latitude=5.34314100124563)","Place(fullName='Tota, Colombia', name='Tota', type='city', country='Colombia', countryCode='CO')",0,0,1,Mechuda pero feliz 😁 https://t.co/G9P7f9sxQC,Nohelia_acr
2018-10-15 03:41:39+00:00,1051679469507923970,,,0,1,0,😭😭 https://t.co/7wOiHFLgNo,Nohelia_acr
2018-10-14 15:12:10+00:00,1051490855998156807,,,0,1,1,#MétanmeAlCalabozoPor haber destapado la de guaro anoche sin ofrecer el primer trago a las animas del purgatorio.,Nohelia_acr
2018-10-13 14:24:38+00:00,1051116507282006018,,,0,1,0,"Que tristeza, la desigualdad social de este país ha llegado a tanto... Como que la vida de un niño y las oportunidades que tenga dependan de ""quien es su padre"" y cuanto tenga su familia. Decepcionante! https://t.co/RmR7vsvpMr",Nohelia_acr
2018-10-13 01:57:38+00:00,1050928518064934913,,,0,0,4,#NuevaFotoDePerfil https://t.co/3R1KLNyGAR,Nohelia_acr
2018-10-12 16:09:38+00:00,1050780542847909888,,,0,0,0,Puta migraña... Como en los viejos tiempos 😖😩,Nohelia_acr
2018-10-12 00:03:02+00:00,1050537287849775104,,,0,0,1,"Cuando estoy a unas semanas de irme mi mamá me sorprendió con una carpeta de ""tesoros"" me hizo llorar,son cartas,dibujos y diplomas de cuando mi hermano y yo eramos niños conserva esas cosas de hace no se cuantos años y al verme llorar me abrazo y me dijo ""siempre seras mi niña"" https://t.co/b1sctZCy4E",Nohelia_acr
2018-10-11 21:27:06+00:00,1050498048344973312,,,0,1,1,Siempre... 🤷🏻‍♀️ https://t.co/ZHaqLFZvHe,Nohelia_acr
2018-10-11 07:24:26+00:00,1050285981692256261,,,0,0,1,Consequences...🎶 https://t.co/YrhhFJvGer,Nohelia_acr
2018-10-11 05:36:51+00:00,1050258911280926720,,,0,0,0,Lluvia ❤️,Nohelia_acr
2018-10-11 05:01:36+00:00,1050250039648501760,,,0,0,0,Pronóstico que está será otra noche sin dormir bien...,Nohelia_acr
2018-10-11 01:40:46+00:00,1050199497886830592,,,0,2,0,"@Nacs95 A este mundo falta respeto, tolerancia y mucho amor...",Nohelia_acr
2018-10-11 01:36:37+00:00,1050198452863467525,,,0,1,0,"Hoy en una llamada alguien me preguntó: Cómo ves el lesbianismo y como tal la homosexualidad? Yo respondí, normal... Como todo mundo, en HD y me colgaron 🤷🏻‍♀️🏳️‍🌈",Nohelia_acr
2018-10-10 19:13:29+00:00,1050102033326456832,,,0,0,0,Mi mejor amigo se llena de amor y saca lo mejor de mi 🤣❤️ https://t.co/eJFQqRF83p,Nohelia_acr
2018-10-10 17:56:24+00:00,1050082633257021441,,,0,0,0,Entregaré mi amor a quien me regale estas babuchas de Panda 🤣😍🐼 https://t.co/i7Ie0xo6cM,Nohelia_acr
2018-10-10 15:24:01+00:00,1050044288199987206,,,0,0,0,"Como cuando vas a ayudar a tu amigo a trazar unos planos y olvidas el computador... Bravo Annick, como siempre triunfando.",Nohelia_acr
2018-10-10 13:48:59+00:00,1050020369896263681,,,0,0,0,"Odio los días que parecen lunes... Hoy será un largo, largo día.",Nohelia_acr
2018-10-10 03:35:01+00:00,1049865859408236546,,,0,0,0,"Que quede claro, si le digo ""OK"" le estoy diciendo ""No me joda, vaya coma 💩""",Nohelia_acr
2018-10-10 02:30:27+00:00,1049849614176796672,"Coordinates(longitude=-72.9794400013554, latitude=5.56841500444777)","Place(fullName='Sogamoso, Colombia', name='Sogamoso', type='city', country='Colombia', countryCode='CO')",0,0,0,No te permitas jamás ser la duda de alguien... Estas para cosas mejores ❤️,Nohelia_acr
2018-10-09 02:39:42+00:00,1049489551624982530,"Coordinates(longitude=-72.9794400013554, latitude=5.56841500444777)","Place(fullName='Sogamoso, Colombia', name='Sogamoso', type='city', country='Colombia', countryCode='CO')",0,1,0,Sabes que el mundo esta en decadencia cuando tu mamá mira antes de dormir una boleta de novela como la #reinadelflow 🤦🏻‍♀️🤣,Nohelia_acr
2018-10-09 02:34:24+00:00,1049488220168355840,"Coordinates(longitude=-72.9794400013554, latitude=5.56841500444777)","Place(fullName='Sogamoso, Colombia', name='Sogamoso', type='city', country='Colombia', countryCode='CO')",0,0,0,Es lindo lo que haces pero no es lo que quiero ahora ni en un tiempo...,Nohelia_acr
2018-10-08 23:27:30+00:00,1049441184735748096,"Coordinates(longitude=-72.9794400013554, latitude=5.56841500444777)","Place(fullName='Sogamoso, Colombia', name='Sogamoso', type='city', country='Colombia', countryCode='CO')",0,0,0,"""No toda decisión es fácil
No todo corazón es frágil
No toda armadura es dura
No todo mal de amor se cura... """,Nohelia_acr
2018-10-07 21:30:59+00:00,1049049471458398208,,,0,0,0,"Hace mucho no me asustaba tanto como hoy, verla caer por la escalera me recordó lo importante que es en mi vida y como amo poder abrazarla y decirle que es la mejor y más hermosa abuelita del mundo...🌹",Nohelia_acr
2018-10-07 06:02:06+00:00,1048815710917611520,,,0,0,0,Yo sigo aca sin poder dormir...,Nohelia_acr
2018-10-07 04:19:34+00:00,1048789910092767232,,,0,0,1,"@Nacs95 Te lo envío un montón llenos de mucho cariño... ❤️
(ánimo cielo, no olvides que mereces lo mejor de todo y cada cosa y persona en tu vida)",Nohelia_acr
